timestamp_ms,wire1_pin34,wire2_pin32
43381,95,0
43391,59,0
43401,28,0
43411,4,0
43421,0,0
43431,0,0
43441,0,0
43451,0,0
43461,0,0
43471,0,0
43481,0,0
43491,0,16
43501,0,0
43511,0,0
43521,0,0
43531,0,0
43541,0,0
43551,0,0
43561,0,0
43571,0,0
43581,0,0
43591,0,0
43601,0,0
43611,0,0
43621,0,0
43631,0,0
43641,0,0
43651,0,0
43661,0,0
43671,0,0
43681,0,0
43691,0,0
43701,0,0
43711,0,0
43721,0,0
43731,0,0
43741,0,0
43751,0,0
43761,0,0
43771,0,0
43781,0,0
43791,0,0
43801,0,0
43811,0,0
43821,0,0
43831,0,0
43841,0,0
43851,0,0
43861,0,0
43871,0,0
43881,0,2
43891,0,0
43901,0,31
43911,0,35
43921,0,25
43931,0,40
43941,0,31
43951,0,39
43961,0,46
43971,0,35
43981,0,42
43991,0,50
44001,0,63
44011,0,58
44021,0,48
44031,0,55
44041,0,36
44051,0,49
44061,0,49
44071,0,63
44081,0,51
44091,0,48
44101,0,51
44111,0,42
44121,0,44
44131,0,33
44141,0,45
44151,0,31
44161,0,17
44171,0,0
44181,0,14
44191,0,198
44201,0,249
44211,0,262
44221,0,263
44231,0,267
44241,0,272
44251,0,261
44261,0,272
44271,0,268
44281,0,267
44291,0,261
44301,0,271
44311,0,260
44321,0,263
44331,0,257
44341,0,268
44351,0,263
44361,0,269
44371,0,265
44381,0,269
44391,0,259
44401,0,266
44411,0,257
44421,0,256
44431,0,254
44441,0,268
44451,0,257
44461,0,266
44471,0,258
44481,0,267
44491,0,269
44501,0,270
44511,0,256
44521,1775,83
44531,2736,144
44541,2829,176
44551,3937,179
44561,3932,319
44571,3788,461
44581,2946,497
44591,2352,496
44601,3727,524
44611,3261,501
44621,2650,703
44631,2137,691
44641,1695,685
44651,1321,794
44661,1030,850
44671,795,746
44681,614,880
44691,464,980
44701,347,1006
44711,261,895
44721,191,869
44731,132,853
44741,83,848
44751,48,990
44761,21,1171
44771,0,1215
44781,0,1221
44791,0,1097
44801,0,960
44811,0,1004
44821,0,1051
44831,0,1069
44841,0,941
44851,0,985
44861,0,887
44871,0,918
44881,0,879
44891,0,835
44901,0,866
44911,0,835
44921,0,720
44931,0,802
44941,0,720
44951,0,689
44961,0,546
44971,0,479
44981,0,394
44991,0,330
45001,0,256
45011,0,188
45021,0,141
45031,0,101
45041,0,67
45051,0,43
45061,0,22
45071,564,63
45081,541,245
45091,3037,443
45101,3935,487
45111,3935,490
45121,3505,0
45131,2784,0
45141,2226,0
45151,1769,0
45161,1383,0
45171,1077,6
45181,1341,9
45191,1616,0
45201,1587,0
45211,1316,13
45221,1041,9
45231,806,6
45241,626,3
45251,477,6
45261,359,0
45271,270,0
45281,192,0
45291,136,0
