timestamp_ms,wire1_pin34,wire2_pin32
11878,49,16
11888,0,21
11898,64,23
11908,0,6
11918,67,0
11928,0,8
11938,71,6
11948,0,0
11958,78,0
11968,0,0
11978,69,11
11988,0,5
11998,67,10
12008,0,3
12018,65,22
12028,0,9
12038,71,1
12048,2,0
12058,65,5
12068,1,1
12078,77,0
12088,0,0
12098,78,0
12108,2,1
12118,74,0
12128,0,11
12138,64,17
12148,0,18
12158,73,27
12168,0,16
12178,79,11
12188,0,11
12198,68,16
12208,0,2
12218,74,6
12228,0,7
12238,69,6
12248,0,0
12258,71,7
12268,0,3
12278,70,1
12288,0,2
12298,66,1
12308,0,0
12318,74,0
12328,0,0
12338,71,0
12348,0,0
12358,67,0
12368,0,0
12378,64,7
12388,0,0
12398,69,0
12408,0,0
12418,71,0
12428,0,0
12438,60,0
12448,0,0
12458,66,0
12468,0,0
12478,69,0
12488,0,0
12498,69,0
12508,0,0
12518,73,0
12528,0,0
12538,71,0
12548,0,0
12558,63,0
12568,0,0
12578,72,0
12588,0,0
12598,71,3
12608,0,7
12618,72,10
12628,0,0
12638,64,0
12648,0,0
12658,64,0
12668,0,9
12678,77,3
12688,0,18
12698,80,20
12708,0,18
12718,67,16
12728,1,0
12738,77,0
12748,0,0
12758,65,15
12768,0,16
12778,72,17
12788,0,13
12798,60,1
12808,0,2
12818,69,0
12828,0,0
12838,68,4
12848,0,0
12858,71,0
12868,0,0
12878,69,0
12888,0,3
12898,73,0
12908,0,0
12918,64,7
12928,0,0
12938,74,0
12948,0,0
12958,71,5
12968,0,0
12978,70,0
12988,0,0
12998,73,0
13008,0,0
13018,73,1
13028,0,10
13038,74,1
13048,0,0
13058,60,0
13068,0,0
13078,57,0
13088,0,1
13098,57,0
13108,0,0
13118,69,0
13128,0,0
13138,58,0
13148,0,3
13158,74,6
13168,0,13
13178,66,35
13188,0,29
13198,77,43
13208,0,63
13218,74,54
13228,0,49
13238,78,69
13248,0,79
13258,80,98
13268,0,134
13278,69,113
13288,0,75
13298,79,91
13308,0,48
13318,80,64
13328,5,141
13338,78,128
13348,4,97
13358,85,137
13368,1,155
13378,80,112
13388,11,190
13398,83,162
13408,6,67
13418,81,167
13428,13,170
13438,92,199
13448,7,191
13458,80,174
13468,16,236
13478,93,193
13488,6,162
13498,82,171
13508,2,226
13518,86,157
13528,9,153
13538,75,141
13548,8,118
13558,83,111
13568,6,101
13578,80,74
13588,3,63
13598,80,69
13608,1,94
13618,86,80
13628,5,66
13638,82,68
13648,14,112
13658,89,170
13668,11,149
13678,80,175
13688,13,153
13698,73,125
13708,0,99
13718,74,103
13728,0,121
13738,80,123
13748,3,112
13758,80,115
13768,0,80
13778,77,74
13788,0,81
13798,67,80
13808,1,82
13818,65,80
13828,0,80
13838,79,110
13848,5,144
13858,76,165
13868,10,182
18377,48,33
18387,16,16
18397,51,29
18407,25,29
18417,61,43
18427,18,31
18437,59,25
18447,16,26
18457,64,33
18467,27,43
18477,60,42
18487,23,17
18497,59,20
18507,27,17
18517,62,23
18527,16,27
18537,63,38
18547,28,45
18557,63,33
18567,26,23
18577,57,39
18587,29,21
18597,49,37
18607,19,36
18617,53,28
18627,26,16
18637,60,4
18647,16,16
18657,57,7
18667,25,9
18677,50,23
18687,26,26
18697,62,27
18707,18,18
18717,50,19
18727,11,16
18737,50,22
18747,21,13
18757,63,12
18767,19,0
18777,54,2
18787,19,0
18797,62,0
18807,16,0
18817,51,17
18827,20,23
18837,63,27
18847,29,17
18857,51,7
18867,22,0
18877,60,1
18887,16,11
18897,51,2
18907,21,0
18917,61,0
18927,21,3
18937,53,22
18947,18,9
18957,61,5
18967,21,0
18977,64,10
18987,16,7
18997,53,9
19007,22,3
19017,48,0
19027,14,0
19037,59,0
19047,13,0
19057,58,0
19067,20,0
19077,60,0
19087,17,0
19097,59,0
19107,29,0
19117,64,0
19127,20,0
19137,62,0
19147,16,0
19157,59,5
19167,19,4
19177,58,14
19187,24,16
19197,49,31
19207,21,22
19217,48,42
19227,15,23
19237,55,16
19247,20,11
19257,59,16
19267,27,15
19277,57,26
19287,23,25
19297,64,37
19307,28,35
19317,55,37
19327,27,66
19337,67,96
19347,27,107
19357,59,127
19367,21,109
19377,58,128
19387,26,117
19397,65,106
19407,26,109
19417,64,96
19427,21,118
19437,55,122
19447,25,119
19457,64,91
19467,23,81
19477,54,103
19487,23,85
19497,64,90
19507,23,77
19517,53,70
19527,16,63
19537,52,75
19547,31,109
19557,69,124
19567,27,103
19577,62,86
19587,20,85
19597,69,138
19607,29,155
19617,70,125
19627,35,110
19637,67,110
19647,38,144
19657,60,141
19667,26,176
19677,68,181
19687,36,199
19697,71,195
19707,38,176
19717,71,190
19727,29,180
19737,67,173
19747,38,153
19757,54,135
19767,30,154
19777,66,122
19787,22,110
19797,64,106
19807,35,176
19817,62,100
19827,32,112
19837,62,109
19847,17,94
19857,57,29
19867,26,75
19877,59,75
19887,23,56
19897,54,73
19907,16,56
19917,54,0
19927,24,73
19937,48,67
19947,24,58
19957,59,55
19967,16,46
19977,58,69
19987,26,48
19997,59,45
20007,23,39
20017,48,21
20027,12,9
20037,48,14
20047,25,10
20057,58,11
20067,15,16
20077,58,22
20087,14,0
20097,45,30
20107,25,30
20117,64,32
20127,19,54
20137,48,31
20147,18,35
20157,47,51
20167,28,80
20177,48,73
20187,17,61
20197,58,61
20207,18,45
20217,54,47
20227,23,36
20237,47,38
20247,21,32
20257,45,19
20267,22,22
20277,51,22
20287,20,3
20297,49,34
20307,16,10
20317,54,27
20327,24,17
20337,54,26
20347,16,23
20357,53,59
20367,16,50
24876,30,49
24886,46,17
24896,27,16
24906,41,11
24916,29,16
24926,48,18
24936,26,1
24946,40,0
24956,29,17
24966,41,18
24976,33,22
24986,41,31
24996,32,46
25006,40,48
25016,33,36
25026,50,16
25036,17,3
25046,37,16
25056,20,45
25066,51,36
25076,34,49
25086,53,53
25096,26,48
25106,50,43
25116,27,23
25126,43,31
25136,32,35
25146,55,98
25156,37,90
25166,48,90
25176,23,93
25186,64,113
25196,39,114
25206,62,97
25216,26,108
25226,54,81
25236,36,80
25246,55,79
25256,34,87
25266,53,80
25276,22,61
25286,48,73
25296,42,99
25306,57,77
25316,32,107
25326,59,89
25336,35,80
25346,57,73
25356,26,64
25366,50,122
25376,29,102
25386,57,77
25396,42,144
25406,62,155
25416,32,162
25426,64,194
25436,43,171
25446,62,186
25456,42,145
25466,61,118
25476,39,87
25486,61,97
25496,32,114
25506,61,110
25516,38,90
25526,52,111
25536,34,77
25546,48,99
25556,38,106
25566,59,170
25576,41,147
25586,57,154
25596,38,147
25606,62,123
25616,31,160
25626,48,144
25636,34,160
25646,50,156
25656,35,138
25666,57,124
25676,33,123
25686,52,112
25696,42,144
25706,52,133
25716,27,127
25726,57,125
25736,29,123
25746,57,112
25756,23,96
25766,55,85
25776,37,117
25786,63,143
25796,31,118
25806,49,125
25816,29,92
25826,52,95
25836,23,95
25846,55,87
25856,23,85
25866,48,79
25876,21,51
25886,49,50
25896,30,58
25906,43,34
25916,22,80
25926,52,65
25936,19,46
25946,59,86
25956,37,95
25966,48,101
25976,21,80
25986,54,95
25996,23,90
26006,48,91
26016,25,69
26026,47,64
26036,29,64
26046,47,56
26056,30,49
26066,54,106
26076,25,107
26086,52,80
26096,17,64
26106,47,66
26116,16,49
26126,41,61
26136,29,58
26146,52,76
26156,17,70
26166,48,64
26176,22,54
26186,49,29
26196,27,34
26206,52,27
26216,29,29
26226,53,57
26236,29,64
26246,60,55
26256,30,38
26266,55,39
26276,23,35
26286,44,26
26296,27,47
26306,55,48
26316,26,34
26326,48,19
26336,23,13
26346,52,7
26356,25,19
26366,57,7
26376,17,0
26386,48,0
26396,17,15
26406,55,9
26416,24,10
26426,54,11
26436,16,16
26446,55,5
26456,19,18
26466,61,60
26476,28,71
26486,58,57
26496,16,54
26506,47,64
26516,26,77
26526,49,71
26536,16,69
26546,48,47
26556,16,33
26566,59,0
26576,16,35
26586,45,69
26596,25,33
26606,57,33
26616,18,18
26626,58,34
26636,25,34
26646,49,48
26656,13,16
26666,51,19
26676,14,16
26686,47,19
26696,20,14
26706,54,42
26716,20,47
26726,53,44
26736,16,27
26746,55,38
26756,11,16
26766,54,19
26776,11,37
26786,55,25
26796,22,13
26806,54,0
26816,15,1
26826,53,17
26836,13,16
26846,47,16
26856,19,16
26866,55,22
31375,0,28
31385,119,47
31395,0,50
31405,115,35
31415,0,22
31425,117,48
31435,0,39
31445,113,41
31455,0,48
31465,113,47
31475,0,47
31485,121,72
31495,0,80
31505,119,80
31515,0,60
31525,112,68
31535,0,69
31545,117,83
31555,0,78
31565,112,82
31575,0,75
31585,115,62
31595,0,54
31605,111,65
31615,0,64
31625,109,53
31635,0,49
31645,117,64
31655,0,60
31665,112,51
31675,0,38
31685,113,68
31695,0,60
31705,109,64
31715,0,46
31725,102,48
31735,0,42
31745,105,35
31755,0,31
31765,111,43
31775,0,32
31785,110,57
31795,0,71
31805,112,62
31815,0,55
31825,103,69
31835,0,71
31845,108,77
31855,0,69
31865,100,48
31875,0,48
31885,108,55
31895,0,59
31905,107,21
31915,0,39
31925,102,42
31935,0,48
31945,102,50
31955,0,45
31965,96,41
31975,0,29
31985,95,27
31995,0,16
32005,97,30
32015,0,32
32025,90,50
32035,0,59
32045,97,47
32055,0,42
32065,101,48
32075,0,54
32085,103,55
32095,0,51
32105,100,33
32115,0,35
32125,94,48
32135,0,54
32145,95,65
32155,0,48
32165,97,51
32175,0,46
32185,108,50
32195,0,22
32205,111,29
32215,0,16
32225,104,32
32235,0,48
32245,112,51
32255,0,67
32265,112,59
32275,0,54
32285,112,47
32295,0,26
32305,118,39
32315,0,33
32325,127,44
32335,0,41
32345,126,44
32355,0,19
32365,119,32
32375,0,30
32385,113,35
32395,0,35
32405,123,51
32415,0,48
32425,112,48
32435,0,42
32445,122,39
32455,0,27
32465,110,23
32475,0,27
32485,116,47
32495,0,36
32505,114,48
32515,0,25
32525,112,36
32535,0,40
32545,107,42
32555,0,30
32565,112,47
32575,0,49
32585,101,53
32595,0,47
32605,109,47
32615,0,21
32625,101,16
32635,0,2
32645,97,16
32655,0,24
32665,111,32
32675,0,21
32685,113,27
32695,0,38
32705,107,34
32715,0,13
32725,101,14
32735,0,0
32745,94,0
32755,0,0
32765,103,7
32775,0,2
32785,97,0
32795,0,6
32805,109,32
32815,0,12
32825,107,16
32835,0,28
32845,108,48
32855,0,42
32865,112,48
32875,0,37
32885,113,27
32895,0,7
32905,97,16
32915,0,13
32925,111,12
32935,0,9
32945,99,31
32955,0,20
32965,95,22
32975,0,10
32985,106,42
32995,0,35
33005,111,38
33015,0,40
33025,109,47
33035,0,30
33045,109,30
33055,0,27
33065,95,38
33075,0,35
33085,106,43
33095,0,64
33105,99,30
33115,0,62
33125,97,35
33135,0,36
33145,108,34
33155,0,33
33165,96,17
33175,0,19
33185,111,38
33195,0,11
33205,106,38
33215,0,29
33225,112,31
33235,0,21
33245,109,63
33255,0,32
33265,106,27
33275,0,15
33285,103,30
33295,0,13
33305,99,0
33315,0,11
33325,95,16
33335,0,26
33345,111,32
33355,0,29
33365,114,48
37874,0,29
37884,97,25
37894,0,18
37904,97,24
37914,0,26
37924,95,25
37934,0,30
37944,97,13
37954,0,8
37964,97,12
37974,0,12
37984,97,29
37994,0,37
38004,101,48
38014,0,43
38024,89,55
38034,0,60
38044,101,51
38054,0,55
38064,92,64
38074,0,48
38084,85,32
38094,0,29
38104,83,29
38114,0,30
38124,93,18
38134,0,29
38144,99,26
38154,0,30
38164,94,36
38174,0,26
38184,97,23
38194,0,16
38204,87,22
38214,0,29
38224,92,32
38234,0,32
38244,91,32
38254,0,22
38264,90,31
38274,0,29
38284,94,23
38294,0,16
38304,83,18
38314,0,30
38324,101,22
38334,0,27
38344,96,37
38354,0,33
38364,102,48
38374,0,16
38384,95,12
38394,0,0
38404,86,5
38414,0,12
38424,94,35
38434,0,68
38444,95,55
38454,0,54
38464,105,53
38474,0,55
38484,110,79
38494,0,96
38504,106,103
38514,0,131
38524,101,112
38534,0,112
38544,103,92
38554,0,113
38564,112,145
38574,3,144
38584,106,178
38594,4,195
38604,112,164
38614,0,145
38624,103,128
38634,1,120
38644,112,144
38654,0,163
38664,111,132
38674,0,113
38684,102,105
38694,0,110
38704,110,137
38714,0,143
38724,111,159
38734,0,147
38744,109,192
38754,3,151
38764,112,161
38774,0,122
38784,111,128
38794,0,130
38804,111,136
38814,1,167
38824,112,151
38834,4,165
38844,110,118
38854,0,138
